date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-04-09,7.4,-0.878645143058678,-1.2055599172013791,,,-0.2896732249873145,-0.9001221924615337,-0.48062858751973997,-0.6276626895026648,-0.23303579287999235,-0.45833162600146654,,,-0.21264071671280638,,
2014-04-10,7.6,0.20418574317622612,1.0901795189177703,,,-0.11553343368171162,-0.2706570078643703,0.1045269173141366,,-0.2337870147143665,-0.39433240444626827,1.6495154862140957,,5.59296375172219,,
2014-04-11,7.666666666666667,0.21983727273931133,0.21727598481140073,,,-0.25365727527268017,-0.35227498031827503,0.28131340752770506,-0.5856069399520947,-0.2361062149170951,-0.05614831582491305,,,-0.2042107276977274,-1.1908308119762232,
2014-04-12,7.4,0.6254011309896735,0.2685762174215862,,,4.223854689403334,-0.6304856471615958,6.275256743292174,,,1.0936007400720766,,,-0.22320703689930607,0.15340603409023032,
2014-04-13,7.0,-1.1286291554260095,2.257254517250077,,,0.3687930881644131,1.7628040189816303,0.07797681862755347,,-0.11584789948296706,5.084263255555786,,,,,
2014-04-14,7.6,-0.8390688972228774,0.09087089251029432,,,-0.14188458894508368,2.8048753676961216,-0.46670192914386877,-0.22326786013325323,-0.22338884237685797,-0.3916470169029031,-0.052184353327213565,,-0.24907892482804644,2.3783594020968395,
2014-04-15,8.0,-0.5427024083376517,-0.7524144018574991,,,-0.2585487021028793,-0.10462195453261429,-0.17682223617716647,,-0.2308452348653795,-0.34325973238214325,,,-0.24683512178174433,,
2014-04-16,7.25,0.5815808155374887,0.0937583432956612,,,-0.2877913964766092,-0.13097078358278302,-0.008157065288172099,-0.5539707772000466,-0.1923690845632821,-0.3574201630756285,,,-0.22840238460698226,-0.31206771704924313,
2014-04-17,7.5,1.0047806896626714,-0.709013399243229,,,-0.12104781743029568,-0.4957840877851199,-0.562715655454522,1.6833688448133137,,-0.42669787331962333,,,-0.013005155957703457,1.9213970115147718,
2014-04-18,7.8,-0.3130566730202826,0.6092843040995984,,,-0.1334031077181329,0.9809064867476044,0.6491856988239809,,-0.1571608272582119,-0.482450257477903,,,-0.25456392234485387,-0.23058190449964733,
2014-04-19,7.5,2.0983848436691472,-0.7997314753137718,,,-0.2878720071859448,0.7752553312615543,-0.7966094726101143,,,-0.37421567257229305,,-0.7145814240127261,,,
